id,location_list,image1_block_planation,number_of_plants,planta_name_text,status,created_at,updated_at,plantation_type_id,submitted_by_id,location_lat,location_long,goverment_departmet_id,land_ownership_id,plantationArea,block_code_id,dict_code_id,gp_code_id
47796,"29.274044,74.766897,29.273999,74.766817,29.273947,74.766787,29.274003,74.766633,29.274008,74.766619",images/blockplantation/d8f6830d-06d8-485f-8f7c-25c73180e372.jpg,100,Babool: 100,FALSE,2024-08-31 09:19:18.978001+05:30,2024-08-31 09:19:18.978019+05:30,1,28056,29.2740009,74.7669565,2,7,0.1,810003,100,810003370
47797,"26.797476,72.792707,26.797448,72.792667,26.797413,72.792629,26.797398,72.792582,26.797350,72.792501,26.797321,72.792455,26.797329,72.792411,26.797315,72.792367,26.797297,72.792331,26.797342,72.792312,26.797361,72.792364,26.797380,72.792406,26.797399,72.792440,26.797419,72.792472,26.797447,72.792520,26.797462,72.792561,26.797482,72.792618,26.797494,72.792651,26.797517,72.792696,26.797520,72.792623,26.797492,72.792590,26.797475,72.792546,26.797455,72.792504,26.797436,72.792451,26.797411,72.792409,26.797390,72.792365,26.797377,72.792325,26.797363,72.792290,26.797475,72.792407,26.797499,72.792455,26.797525,72.792506,26.797542,72.792534,26.797557,72.792575,26.797591,72.792529,26.797652,72.792589,26.797616,72.792626,26.797615,72.792675,26.797634,72.792724,26.797665,72.792719,26.797660,72.792660,26.797816,72.792507,26.797833,72.792516,26.797859,72.792507,26.797891,72.792484,26.797938,72.792447,26.797956,72.792438,26.797979,72.792432,26.797971,72.792392,26.797935,72.792384,26.797890,72.792423,26.797841,72.792425,26.797802,72.792455,26.797759,72.792425,26.797759,72.792403,26.797778,72.792377,26.797802,72.792371,26.797846,72.792371,26.797875,72.792368,26.797902,72.792369,26.797908,72.792325,26.797898,72.792309,26.797866,72.792313,26.797839,72.792335,26.797815,72.792343,26.797798,72.792355,26.797769,72.792373,26.797725,72.792354,26.797746,72.792338,26.797770,72.792313,26.797798,72.792295,26.797816,72.792282,26.797839,72.792271,26.797865,72.792259,26.797884,72.792239,26.797848,72.792201,26.797843,72.792187,26.797818,72.792205,26.797780,72.792156,26.797795,72.792131,26.797823,72.792131,26.797866,72.792119,26.797851,72.792075,26.797818,72.792074,26.797780,72.792113,26.797777,72.792025,26.797780,72.792004,26.797806,72.791989,26.797821,72.791992,26.797827,72.791964,26.797828,72.791951,26.797802,72.791960,26.797753,72.791913,26.797802,72.791907,26.797769,72.791878,26.797734,72.791879,26.797713,72.791819,26.797755,72.791787,26.797773,72.791733,26.797730,72.791740,26.797686,72.791693,26.797708,72.791670,26.797716,72.791658,26.797710,72.791622,26.797708,72.791624,26.797695,72.791633,26.797637,72.791609,26.797625,72.791594,26.797601,72.791601,26.797592,72.791582,26.797598,72.791555,26.797640,72.791575,26.797638,72.791495,26.797639,72.791488,26.797605,72.791501,26.797562,72.791488,26.797555,72.791459,26.797606,72.791436,26.797603,72.791429,26.797594,72.791412,26.797586,72.791376,26.797569,72.791337,26.797565,72.791336,26.797546,72.791366,26.797546,72.791383,26.797521,72.791381,26.797528,72.791323,26.797539,72.791306,26.797516,72.791276,26.797507,72.791268,26.797483,72.791305,26.797466,72.791264,26.797459,72.791269,26.797441,72.791280,26.797418,72.791292,26.797404,72.791298,26.797387,72.791308,26.797372,72.791327,26.797361,72.791347,26.797330,72.791385,26.797330,72.791416,26.797292,72.791467,26.797274,72.791444,26.797278,72.791419,26.797239,72.791427,26.797235,72.791438,26.797256,72.791461,26.797284,72.791503,26.797242,72.791531,26.797211,72.791514,26.797200,72.791512,26.797173,72.791510,26.797179,72.791538,26.797178,72.791583,26.797126,72.791555,26.797097,72.791567,26.797071,72.791574,26.797104,72.791595,26.797099,72.791655,26.797058,72.791610,26.797041,72.791611,26.797026,72.791639,26.796987,72.791663,26.797019,72.791687,26.797056,72.791680,26.797014,72.791704,26.796994,72.791724,26.796954,72.791720,26.796921,72.791785,26.796924,72.791769,26.796897,72.791766,26.796888,72.791789,26.796882,72.791783,26.796882,72.791786,26.796918,72.791807,26.796925,72.791839,26.796913,72.791872,26.796890,72.791878,26.796879,72.791831,26.796848,72.791820,26.796833,72.791827,26.796850,72.791862,26.796834,72.791857,26.796811,72.791890,26.796772,72.791853,26.796779,72.791920,26.796754,72.791922,26.796741,72.791925,26.796733,72.791930,26.796744,72.791958,26.796744,72.791947,26.796710,72.791954,26.796688,72.791930,26.796683,72.791935,26.796681,72.791949,26.796672,72.791978,26.796687,72.792017,26.796706,72.792023,26.796725,72.792011,26.796698,72.792081,26.796693,72.792079,26.796674,72.792061,26.796652,72.792045,26.796648,72.792060,26.796675,72.792080,26.796651,72.792143,26.796618,72.792129,26.796574,72.792088,26.796570,72.792096,26.796561,72.792123,26.796565,72.792127,26.796609,72.792158,26.796588,72.792190,26.796572,72.792181,26.796560,72.792144,26.796529,72.792131,26.796502,72.792139,26.796502,72.792157,26.796539,72.792193,26.796536,72.792224,26.796523,72.792250,26.796515,72.792199,26.796484,72.792191,26.796460,72.792198,26.796450,72.792199,26.796431,72.792207,26.796413,72.792214,26.796395,72.792232,26.796380,72.792259,26.796360,72.792258,26.796383,72.792242,26.796419,72.792229,26.796457,72.792205,26.796484,72.792205,26.796490,72.792229,26.796460,72.792244,26.796441,72.792256,26.796426,72.792290,26.796430,72.792303,26.796438,72.792330,26.796460,72.792326,26.796490,72.792343,26.796476,72.792363,26.796471,72.792380,26.796508,72.792369,26.796528,72.792367,26.796520,72.792404,26.796503,72.792409,26.796505,72.792441,26.796515,72.792465,26.796540,72.792457,26.796572,72.792422,26.796586,72.792440,26.796589,72.792474,26.796551,72.792480,26.796532,72.792480,26.796551,72.792509,26.796566,72.792526,26.796579,72.792557,26.796590,72.792550,26.796628,72.792523,26.796659,72.792550,26.796663,72.792595,26.796656,72.792598,26.796658,72.792637,26.796675,72.792615,26.796687,72.792602,26.796710,72.792624,26.796670,72.792688,26.796668,72.792703,26.796692,72.792725,26.796700,72.792727,26.796729,72.792750,26.796738,72.792739,26.796760,72.792687,26.796791,72.792664,26.796827,72.792642,26.796823,72.792610,26.796802,72.792605,26.796782,72.792627,26.796763,72.792637,26.796747,72.792664,26.796826,72.792593,26.796847,72.792579,26.796868,72.792574,26.796890,72.792561,26.796892,72.792552,26.796868,72.792515,26.796879,72.792486,26.796906,72.792501,26.796920,72.792540,26.796942,72.792546,26.796948,72.792527,26.796928,72.792494,26.796929,72.792466,26.796941,72.792445,26.796936,72.792479,26.796972,72.792506,26.796992,72.792496,26.796995,72.792456,26.797010,72.792423,26.797027,72.792421,26.797041,72.792462,26.797068,72.792470,26.797076,72.792459,26.797061,72.792417,26.797074,72.792383,26.797098,72.792381,26.797114,72.792420,26.797122,72.792424,26.797146,72.792424,26.797150,72.792404,26.797124,72.792376,26.797210,72.792293,26.797210,72.792333,26.797195,72.792333,26.797168,72.792324,26.797176,72.792354,26.797209,72.792382,26.797228,72.792372,26.797253,72.792366,26.797257,72.792346,26.797223,72.792296",images/blockplantation/941cb3b7-183c-453b-80f5-8219ff966983.jpg,500,"Neem: 300, Seesam: 100, Kadam: 100",FALSE,2024-08-31 09:21:34.127905+05:30,2024-08-31 09:21:34.127925+05:30,1,17021,26.7974458,72.7927135,2,2,10,0,0,0
47798,"29.273918,74.766468,29.273930,74.766439,29.273863,74.766263,29.273716,74.766370",images/blockplantation/2c24f18e-baa8-4380-ad24-7bcfa70726ef.jpg,100,Khejri: 100,FALSE,2024-08-31 09:23:41.809759+05:30,2024-08-31 09:23:41.809778+05:30,1,28056,29.2738915,74.7665485,2,9,0.2,810003,100,810003370
47799,"29.137677,74.875456,29.137624,74.875352,29.137487,74.875337,29.137463,74.875483,29.137458,74.875608,29.137411,74.875700",images/blockplantation/419b982c-a84c-42eb-9a84-8ee9d393b015.jpg,100,"Jamun: 50, Neem: 30, Amla: 20",FALSE,2024-08-31 09:32:04.534825+05:30,2024-08-31 09:32:04.534845+05:30,1,75878,29.1374462,74.8756891,2,7,0.4,810003,100,810003030
47800,"29.137485,74.876151,29.137441,74.876089,29.137511,74.876003,29.137506,74.875897,29.137458,74.875880,29.137429,74.875849,29.137472,74.875800,29.137511,74.875750",images/blockplantation/523ba67d-a0ac-4369-81df-d2826a767a62.jpg,100,"Jamun: 50, Neem: 30, Amla: 20",FALSE,2024-08-31 09:32:40.175986+05:30,2024-08-31 09:32:40.176003+05:30,1,75878,29.13749,74.875676,2,7,0.4,810003,100,810003030
47801,"29.206538,74.422472,29.206494,74.422507,29.206317,74.422662,29.206298,74.422686,29.206186,74.422847,29.206127,74.422975",images/blockplantation/06d9d6da-436a-4fc9-ba4b-6cc1ccab641f.jpg,200,Neem: 200,FALSE,2024-08-31 09:32:53.419235+05:30,2024-08-31 09:32:53.419257+05:30,1,46317,29.2061076,74.4229907,2,7,1,810005,100,810005040
47802,"25.573757,76.311649,25.573871,76.311608,25.573892,76.311629,25.573867,76.311690",images/blockplantation/d4828fea-3fa9-41d3-bd83-d23fda63bc31.jpg,100,"Aak: 20, Amaltas: 5, Amla: 5, Babool: 20, Bael: 10, Bargad: 5, Ber: 5, Jamun: 10, Lemon: 10, Neem: 10",FALSE,2024-08-31 09:37:03.963665+05:30,2024-08-31 09:37:03.963684+05:30,1,25466,25.5750674,76.3125283,23,2,0.2,812701,127,812701120
47803,"29.137609,74.875682,29.137598,74.875637,29.137612,74.875510,29.137654,74.875443,29.137702,74.875446,29.137720,74.875358",images/blockplantation/b9e5b724-9169-4e8e-a434-3edd4596de60.jpg,100,"Neem: 25, Amla: 10, Arjun: 30, Sagon: 20, Peepal: 15",FALSE,2024-08-31 09:38:34.834336+05:30,2024-08-31 09:38:34.834358+05:30,1,75878,29.1377674,74.8753735,2,7,0.5,810003,100,810003030
47804,"29.137567,74.876013,29.137584,74.875997,29.137581,74.875960,29.137591,74.875944,29.137581,74.875920,29.137599,74.875897,29.137583,74.875867,29.137548,74.875858,29.137521,74.875843,29.137526,74.875808,29.137552,74.875794,29.137579,74.875777,29.137616,74.875755,29.137630,74.875769,29.137640,74.875812,29.137647,74.875848,29.137642,74.875868,29.137640,74.875895,29.137642,74.875918,29.137635,74.875938,29.137634,74.875965,29.137652,74.875964,29.137658,74.875929,29.137655,74.875798,29.137691,74.875763,29.137695,74.875725,29.137696,74.875700,29.137695,74.875668,29.137687,74.875640,29.137690,74.875616",images/blockplantation/cb8100d7-276c-4353-9fda-8abd5d6b8c5a.jpg,100,"Neem: 25, Amla: 10, Arjun: 30, Sagon: 20, Peepal: 15",FALSE,2024-08-31 09:39:51.313718+05:30,2024-08-31 09:39:51.313732+05:30,1,75878,29.1377624,74.8755356,2,7,0.5,810003,100,810003030
47805,"29.206759,74.422695,29.206758,74.422719,29.206736,74.422831,29.206741,74.422902",images/blockplantation/2ddfbfa3-5010-41a7-9e37-dae362e04c0d.jpg,100,Arjun: 100,FALSE,2024-08-31 09:40:40.697865+05:30,2024-08-31 09:40:40.697884+05:30,1,46317,29.2067419,74.4228612,2,7,1,810005,100,810005040
